t (ms);signal
3.840000000000000000e+02;-1.840000000000000000e+02
3.841000000000000227e+02;1.170000000000000000e+02
3.842000000000000455e+02;6.400000000000000000e+01
3.843000000000000114e+02;-1.000000000000000000e+02
3.844000000000000341e+02;-1.700000000000000000e+01
3.845000000000000000e+02;-3.700000000000000000e+01
3.846000000000000227e+02;-3.150000000000000000e+02
3.847000000000000455e+02;7.700000000000000000e+01
3.848000000000000114e+02;2.700000000000000000e+01
3.849000000000000341e+02;-1.920000000000000000e+02
3.850000000000000000e+02;1.830000000000000000e+02
3.851000000000000227e+02;1.790000000000000000e+02
3.852000000000000455e+02;-2.430000000000000000e+02
3.853000000000000114e+02;5.800000000000000000e+01
3.854000000000000341e+02;7.600000000000000000e+01
3.855000000000000000e+02;-2.480000000000000000e+02
3.856000000000000227e+02;1.470000000000000000e+02
3.857000000000000455e+02;3.890000000000000000e+02
3.858000000000000114e+02;-3.240000000000000000e+02
3.859000000000000341e+02;-3.200000000000000000e+01
3.860000000000000000e+02;3.610000000000000000e+02
3.861000000000000227e+02;-4.080000000000000000e+02
3.862000000000000455e+02;4.700000000000000000e+01
3.863000000000000114e+02;2.840000000000000000e+02
3.864000000000000341e+02;-2.960000000000000000e+02
3.865000000000000000e+02;-6.400000000000000000e+01
3.866000000000000227e+02;3.980000000000000000e+02
3.867000000000000455e+02;-3.210000000000000000e+02
3.868000000000000114e+02;-1.900000000000000000e+02
3.869000000000000341e+02;4.760000000000000000e+02
3.870000000000000000e+02;-3.730000000000000000e+02
3.871000000000000227e+02;-4.100000000000000000e+01
3.872000000000000455e+02;5.360000000000000000e+02
3.873000000000000114e+02;-2.520000000000000000e+02
3.874000000000000341e+02;-6.800000000000000000e+01
3.875000000000000000e+02;4.110000000000000000e+02
3.876000000000000227e+02;-2.800000000000000000e+02
3.877000000000000455e+02;-2.840000000000000000e+02
3.878000000000000114e+02;4.600000000000000000e+02
3.879000000000000341e+02;-1.530000000000000000e+02
3.880000000000000000e+02;-2.330000000000000000e+02
3.881000000000000227e+02;4.650000000000000000e+02
3.882000000000000455e+02;-1.100000000000000000e+02
3.883000000000000114e+02;-2.150000000000000000e+02
3.884000000000000341e+02;3.520000000000000000e+02
3.885000000000000000e+02;-3.030000000000000000e+02
3.886000000000000227e+02;-2.580000000000000000e+02
3.887000000000000455e+02;5.630000000000000000e+02
3.888000000000000114e+02;-2.200000000000000000e+01
3.889000000000000341e+02;-3.410000000000000000e+02
3.890000000000000000e+02;3.830000000000000000e+02
3.891000000000000227e+02;-4.900000000000000000e+01
3.892000000000000455e+02;-2.890000000000000000e+02
3.893000000000000114e+02;2.720000000000000000e+02
